0:00.002;0:12.477;0:00.025
0:00.002;0:26.376;0:00.026
0:00.002;0:34.815;0:00.022
0:00.002;0:45.687;0:00.025
0:00.002;1:05.099;0:00.022
0:00.002;1:18.315;0:00.022
0:00.002;1:16.261;0:00.023
0:00.003;1:43.606;0:00.023
0:00.003;2:02.159;0:00.023
0:00.002;2:23.590;0:00.023

